[2021-05-02 15:09:05] DEBUG|bookmark_manager_app.views.index|Redirecting to Login page
[2021-05-02 15:09:16] INFO|bookmark_manager_app.views.index|User with username=user3 successfully logged in
[2021-05-02 15:09:16] DEBUG|bookmark_manager_app.views.index|Redirecting to groups page
[2021-05-02 15:09:16] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:09:16] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:09:16] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:09:16] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:09:16] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:09:16] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:09:16] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:09:16] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:09:16] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:09:20] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:09:20] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:35:59] INFO|bookmark_manager_app.views.index|User with username=user3 successfully logged in
[2021-05-02 15:35:59] DEBUG|bookmark_manager_app.views.index|Redirecting to groups page
[2021-05-02 15:35:59] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:35:59] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:35:59] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:35:59] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:35:59] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:35:59] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:35:59] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:35:59] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:35:59] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:36:52] INFO|bookmark_manager_app.views.index|User with username=user3 successfully logged in
[2021-05-02 15:36:52] DEBUG|bookmark_manager_app.views.index|Redirecting to groups page
[2021-05-02 15:36:52] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:36:52] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:36:52] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:36:52] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:36:52] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:36:52] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:36:52] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:36:52] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:36:52] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:36:57] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
